      |    PRODUCTION   |       GOAL      | VISUAL-LOCATION |      VISUAL     |      MANUAL     |
18.856 |  +START-FIND-U+ | .    =======    |                 | .    -------    |                 |
18.881 |  ************** | .               |                 |                 |                 |
18.906 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
18.931 |  ************** | .               | .               |                 |                 |
18.956 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
18.981 |                 | .               |                 |  ************** |  ************** |
18.996 |                 | .               |                 |  ************** |  ************** |
19.006 |                 | .               |                 |  ************** |  ************** |
19.016 |                 | .               |                 |  ************** |  ************** |
19.036 |                 | .               |                 |  ************** |  ************** |
19.041 |                 | .               |                 | .    TEXT34     |  ************** |
19.056 |                 | .               |                 | .               |  ************** |
19.064 |                 | .               |                 | .               |  ************** |
19.074 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
19.099 |  ************** | .               |                 | .               |                 |
19.124 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
19.149 |                 | .               |                 | .               |  ************** |
19.154 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 4 #(305 106).
19.164 |                 | .               |                 | .               |  ************** |
19.174 |                 | .               |                 | .               |  ************** |
19.184 |  +READ-FIRST-T+ | .               |                 | .               |                 |
19.209 |  ************** | .               |                 | .               |                 |
19.234 |  ************** | .    =======    |                 | .    -------    |                 |
19.259 |                 | .               |                 |                 |                 |
19.284 |                 | .               |                 |                 |                 |
19.309 |                 | .               |                 |                 |                 |
19.334 |                 | .               |                 |                 |                 |
19.359 |                 | .               |                 |                 |                 |
19.384 |                 | .               |                 |                 |                 |
19.409 |                 | .               |                 |                 |                 |
19.434 |  +CHECK-FOR-MA+ | .               |                 |                 |                 |
19.459 |  ************** | .               |                 |                 |                 |
19.484 |  +FIND-MATCHIN+ | .    =======    |                 |                 |                 |
19.509 |  ************** | .               |                 |                 |                 |
19.534 |  ************** | .    =======    |                 |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
19.559 |                 | .               |                 |  ************** |  ************** |
19.574 |                 | .               |                 |  ************** |  ************** |
19.584 |                 | .               |                 |  ************** |  ************** |
19.594 |                 | .               |                 |  ************** |  ************** |
19.614 |                 | .               |                 |  ************** |  ************** |
19.619 |                 | .               |                 | .    TEXT35     |  ************** |
19.634 |                 | .               |                 | .               |  ************** |
19.654 |                 | .               |                 | .               |  ************** |
19.674 |                 | .               |                 | .               |  ************** |
19.694 |                 | .               |                 | .               |  ************** |
19.714 |                 | .               |                 | .               |  ************** |
19.734 |                 | .               |                 | .               |  ************** |
19.759 |                 | .               |                 | .               |  ************** |
19.762 |                 | .               |                 | .               |  ************** |
19.772 |  +CLICK-SECOND+ | .               |                 | .               |                 |
19.797 |  ************** | .               |                 | .               |                 |
19.822 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
19.847 |                 | .               |                 | .               |  ************** |
19.852 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 4 #(5 206).
*** CONCENTRATION: Removing matching '4's from window.
*** CONCENTRATION: 6 tiles remain.
19.862 |                 | .               |                 | .               |  ************** |
19.872 |                 | .               |                 | .************** |  ************** |
19.882 |  +READ-SECOND-+ | .               |                 | .************** |                 |
19.907 |  ************** | .               |                 | .************** |                 |
19.932 |  +MATCH-FOUND-+ | .    =======    |                 | .************** |                 |
19.957 |  ************** | .               |                 |E.************** |                 |
19.982 |  +START-FIND-U+ | .    =======    |                 |E.    -------    |                 |
20.007 |  ************** | .               |                 |E                |                 |
20.032 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |E                |                 |
20.057 |  ************** | .               | .               |E                |                 |
20.082 |  ************** | .    =======    | .    -------    |E +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
20.107 |                 | .               |                 |  ************** |  ************** |
20.122 |                 | .               |                 |  ************** |  ************** |
20.132 |                 | .               |                 |  ************** |  ************** |
20.142 |                 | .               |                 |  ************** |  ************** |
20.162 |                 | .               |                 |  ************** |  ************** |
20.167 |                 | .               |                 | .    TEXT36     |  ************** |
20.182 |                 | .               |                 | .               |  ************** |
20.202 |                 | .               |                 | .               |  ************** |
20.222 |                 | .               |                 | .               |  ************** |
20.242 |                 | .               |                 | .               |  ************** |
20.262 |                 | .               |                 | .               |  ************** |
20.272 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
20.297 |  ************** | .               |                 | .               |                 |
20.322 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
20.347 |                 | .               |                 | .               |  ************** |
20.352 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 6 #(205 6).
20.362 |                 | .               |                 | .               |  ************** |
20.372 |                 | .               |                 | .               |  ************** |
20.382 |  +READ-FIRST-T+ | .               |                 | .               |                 |
20.407 |  ************** | .               |                 | .               |                 |
20.432 |  ************** | .    =======    |                 | .    -------    |                 |
20.457 |                 | .               |                 |                 |                 |
20.482 |                 | .               |                 |                 |                 |
20.507 |                 | .               |                 |                 |                 |
20.532 |                 | .               |                 |                 |                 |
20.557 |                 | .               |                 |                 |                 |
20.582 |                 | .               |                 |                 |                 |
20.607 |                 | .               |                 |                 |                 |
20.632 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
20.657 |  ************** | .               |                 |                 |                 |
20.682 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
20.707 |  ************** | .               | .               |                 |                 |
20.732 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
20.757 |                 | .               |                 |  ************** |  ************** |
20.772 |                 | .               |                 |  ************** |  ************** |
20.782 |                 | .               |                 |  ************** |  ************** |
20.792 |                 | .               |                 |  ************** |  ************** |
20.812 |                 | .               |                 |  ************** |  ************** |
20.817 |                 | .               |                 | .    TEXT37     |  ************** |
20.840 |                 | .               |                 | .               |  ************** |
20.850 |  +CLICK-SECOND+ | .               |                 | .               |                 |
20.875 |  ************** | .               |                 | .               |                 |
20.900 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
20.925 |                 | .               |                 | .               |  ************** |
20.930 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 7 #(305 6).
20.940 |                 | .               |                 | .               |  ************** |
20.950 |                 | .               |                 | .               |  ************** |
20.960 |  +READ-SECOND-+ | .               |                 | .               |                 |
20.985 |  ************** | .               |                 | .               |                 |
21.010 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
21.035 |  ************** | .               |                 | .               |                 |
21.060 |  +START-FIND-U+ | .    =======    |                 | .    -------    |                 |
21.085 |  ************** | .               |                 |                 |                 |
21.110 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
21.135 |  ************** | .               | .               |                 |                 |
21.160 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
21.185 |                 | .               |                 |  ************** |  ************** |
21.200 |                 | .               |                 |  ************** |  ************** |
21.210 |                 | .               |                 |  ************** |  ************** |
21.220 |                 | .               |                 |  ************** |  ************** |
21.240 |                 | .               |                 |  ************** |  ************** |
21.245 |                 | .               |                 | .    TEXT38     |  ************** |
21.260 |                 | .               |                 | .               |  ************** |
21.280 |                 | .               |                 | .               |  ************** |
21.300 |                 | .               |                 | .               |  ************** |
21.320 |                 | .               |                 | .               |  ************** |
21.341 |                 | .               |                 | .               |  ************** |
21.351 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
21.376 |  ************** | .               |                 | .               |                 |
21.401 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
21.426 |                 | .               |                 | .               |  ************** |
21.431 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 3 #(105 6).
21.441 |                 | .               |                 | .               |  ************** |
21.451 |                 | .               |                 | .               |  ************** |
21.461 |  +READ-FIRST-T+ | .               |                 | .               |                 |
21.486 |  ************** | .               |                 | .               |                 |
21.511 |  ************** | .    =======    |                 | .    -------    |                 |
21.536 |                 | .               |                 |                 |                 |
21.561 |                 | .               |                 |                 |                 |
21.586 |                 | .               |                 |                 |                 |
21.611 |                 | .               |                 |                 |                 |
21.636 |                 | .               |                 |                 |                 |
21.661 |                 | .               |                 |                 |                 |
21.686 |                 | .               |                 |                 |                 |
21.711 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
21.736 |  ************** | .               |                 |                 |                 |
21.761 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
21.786 |  ************** | .               | .               |                 |                 |
21.811 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
21.836 |                 | .               |                 |  ************** |  ************** |
21.851 |                 | .               |                 |  ************** |  ************** |
21.861 |                 | .               |                 |  ************** |  ************** |
21.871 |                 | .               |                 |  ************** |  ************** |
21.891 |                 | .               |                 |  ************** |  ************** |
21.896 |                 | .               |                 | .    TEXT39     |  ************** |
21.911 |                 | .               |                 | .               |  ************** |
21.931 |                 | .               |                 | .               |  ************** |
21.951 |                 | .               |                 | .               |  ************** |
21.971 |                 | .               |                 | .               |  ************** |
21.991 |                 | .               |                 | .               |  ************** |
22.011 |                 | .               |                 | .               |  ************** |
22.036 |                 | .               |                 | .               |  ************** |
22.038 |                 | .               |                 | .               |  ************** |
22.048 |  +CLICK-SECOND+ | .               |                 | .               |                 |
22.073 |  ************** | .               |                 | .               |                 |
22.098 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
22.123 |                 | .               |                 | .               |  ************** |
22.128 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 3 #(305 306).
*** CONCENTRATION: Removing matching '3's from window.
*** CONCENTRATION: 4 tiles remain.
22.138 |                 | .               |                 | .               |  ************** |
22.148 |                 | .               |                 | .************** |  ************** |
22.158 |  +READ-SECOND-+ | .               |                 | .************** |                 |
22.183 |  ************** | .               |                 | .************** |                 |
22.208 |  +MATCH-FOUND-+ | .    =======    |                 | .************** |                 |
22.233 |  ************** | .               |                 |E.************** |                 |
22.258 |  +START-FIND-U+ | .    =======    |                 |E.    -------    |                 |
22.283 |  ************** | .               |                 |E                |                 |
22.308 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |E                |                 |
22.333 |  ************** | .               | .               |E                |                 |
22.358 |  ************** | .    =======    | .    -------    |E +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
22.383 |                 | .               |                 |  ************** |  ************** |
22.398 |                 | .               |                 |  ************** |  ************** |
22.408 |                 | .               |                 |  ************** |  ************** |
22.418 |                 | .               |                 |  ************** |  ************** |
22.438 |                 | .               |                 |  ************** |  ************** |
22.443 |                 | .               |                 | .    TEXT40     |  ************** |
22.458 |                 | .               |                 | .               |  ************** |
22.478 |                 | .               |                 | .               |  ************** |
22.498 |                 | .               |                 | .               |  ************** |
22.518 |                 | .               |                 | .               |  ************** |
22.538 |                 | .               |                 | .               |  ************** |
22.558 |                 | .               |                 | .               |  ************** |
22.583 |                 | .               |                 | .               |  ************** |
22.593 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
22.618 |  ************** | .               |                 | .               |                 |
22.643 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
22.668 |                 | .               |                 | .               |  ************** |
22.673 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 7 #(5 6).
22.683 |                 | .               |                 | .               |  ************** |
22.693 |                 | .               |                 | .               |  ************** |
22.703 |  +READ-FIRST-T+ | .               |                 | .               |                 |
22.728 |  ************** | .               |                 | .               |                 |
22.753 |  ************** | .    =======    |                 | .    -------    |                 |
22.778 |                 | .               |                 |                 |                 |
22.803 |                 | .               |                 |                 |                 |
22.828 |                 | .               |                 |                 |                 |
22.853 |                 | .               |                 |                 |                 |
22.878 |                 | .               |                 |                 |                 |
22.903 |                 | .               |                 |                 |                 |
22.928 |                 | .               |                 |                 |                 |
22.953 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
22.978 |  ************** | .               |                 |                 |                 |
23.003 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
23.028 |  ************** | .               | .               |                 |                 |
23.053 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
23.078 |                 | .               |                 |  ************** |  ************** |
23.093 |                 | .               |                 |  ************** |  ************** |
23.103 |                 | .               |                 |  ************** |  ************** |
23.113 |                 | .               |                 |  ************** |  ************** |
23.133 |                 | .               |                 |  ************** |  ************** |
23.138 |                 | .               |                 | .    TEXT41     |  ************** |
23.153 |                 | .               |                 | .               |  ************** |
23.173 |                 | .               |                 | .               |  ************** |
23.193 |                 | .               |                 | .               |  ************** |
23.213 |                 | .               |                 | .               |  ************** |
23.233 |                 | .               |                 | .               |  ************** |
23.253 |                 | .               |                 | .               |  ************** |
23.278 |                 | .               |                 | .               |  ************** |
23.280 |                 | .               |                 | .               |  ************** |
23.290 |  +CLICK-SECOND+ | .               |                 | .               |                 |
23.315 |  ************** | .               |                 | .               |                 |
23.340 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
23.365 |                 | .               |                 | .               |  ************** |
23.370 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 6 #(305 206).
23.380 |                 | .               |                 | .               |  ************** |
23.390 |                 | .               |                 | .               |  ************** |
23.400 |  +READ-SECOND-+ | .               |                 | .               |                 |
23.425 |  ************** | .               |                 | .               |                 |
23.450 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
23.475 |  ************** | .               |                 | .               |                 |
23.500 |  +START-WITH-S+ | .    =======    |                 | .    -------    |                 |
23.525 |  ************** | .               |                 |                 |                 |
23.550 |  ************** | .    =======    |                 |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
23.575 |                 | .               |                 |  ************** |  ************** |
23.590 |                 | .               |                 |  ************** |  ************** |
23.600 |                 | .               |                 |  ************** |  ************** |
23.610 |                 | .               |                 |  ************** |  ************** |
23.630 |                 | .               |                 |  ************** |  ************** |
23.635 |                 | .               |                 | .    TEXT42     |  ************** |
23.650 |                 | .               |                 | .               |  ************** |
23.670 |                 | .               |                 | .               |  ************** |
23.690 |                 | .               |                 | .               |  ************** |
23.700 |                 | .               |                 | .               |  ************** |
23.710 |                 | .               |                 | .               |  ************** |
23.731 |                 | .               |                 | .               |  ************** |
23.741 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
23.766 |  ************** | .               |                 | .               |                 |
23.791 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
23.816 |                 | .               |                 | .               |  ************** |
23.821 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 6 #(205 6).
23.831 |                 | .               |                 | .               |  ************** |
23.841 |                 | .               |                 | .               |  ************** |
23.851 |  +READ-FIRST-T+ | .               |                 | .               |                 |
23.876 |  ************** | .               |                 | .               |                 |
23.901 |  ************** | .    =======    |                 | .    -------    |                 |
23.926 |                 | .               |                 |                 |                 |
23.951 |                 | .               |                 |                 |                 |
23.976 |                 | .               |                 |                 |                 |
24.001 |                 | .               |                 |                 |                 |
24.026 |                 | .               |                 |                 |                 |
24.051 |                 | .               |                 |                 |                 |
24.076 |                 | .               |                 |                 |                 |
24.101 |  +CHECK-FOR-MA+ | .               |                 |                 |                 |
24.126 |  ************** | .               |                 |                 |                 |
24.151 |  +FIND-MATCHIN+ | .    =======    |                 |                 |                 |
24.176 |  ************** | .               |                 |                 |                 |
24.201 |  ************** | .    =======    |                 |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
24.226 |                 | .               |                 |  ************** |  ************** |
24.241 |                 | .               |                 |  ************** |  ************** |
24.251 |                 | .               |                 |  ************** |  ************** |
24.261 |                 | .               |                 |  ************** |  ************** |
24.281 |                 | .               |                 |  ************** |  ************** |
24.286 |                 | .               |                 | .    TEXT43     |  ************** |
24.301 |                 | .               |                 | .               |  ************** |
24.321 |                 | .               |                 | .               |  ************** |
24.341 |                 | .               |                 | .               |  ************** |
24.361 |                 | .               |                 | .               |  ************** |
24.382 |                 | .               |                 | .               |  ************** |
24.392 |  +CLICK-SECOND+ | .               |                 | .               |                 |
24.417 |  ************** | .               |                 | .               |                 |
24.442 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
24.467 |                 | .               |                 | .               |  ************** |
24.472 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 6 #(305 206).
*** CONCENTRATION: Removing matching '6's from window.
*** CONCENTRATION: 2 tiles remain.
24.482 |                 | .               |                 | .               |  ************** |
24.492 |                 | .               |                 | .************** |  ************** |
24.502 |  +READ-SECOND-+ | .               |                 | .************** |                 |
24.527 |  ************** | .               |                 | .************** |                 |
24.552 |  +MATCH-FOUND-+ | .    =======    |                 | .************** |                 |
24.577 |  ************** | .               |                 |E.************** |                 |
24.602 |  +START-FIND-U+ | .    =======    |                 |E.    -------    |                 |
24.627 |  ************** | .               |                 |E                |                 |
24.652 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |E                |                 |
24.677 |  ************** | .               | .               |E                |                 |
24.702 |  ************** | .    =======    | .    -------    |E +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
24.727 |                 | .               |                 |  ************** |  ************** |
24.742 |                 | .               |                 |  ************** |  ************** |
24.752 |                 | .               |                 |  ************** |  ************** |
24.762 |                 | .               |                 |  ************** |  ************** |
24.782 |                 | .               |                 |  ************** |  ************** |
24.787 |                 | .               |                 | .    TEXT44     |  ************** |
24.802 |                 | .               |                 | .               |  ************** |
24.822 |                 | .               |                 | .               |  ************** |
24.842 |                 | .               |                 | .               |  ************** |
24.862 |                 | .               |                 | .               |  ************** |
24.883 |                 | .               |                 | .               |  ************** |
24.893 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
24.918 |  ************** | .               |                 | .               |                 |
24.943 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
24.968 |                 | .               |                 | .               |  ************** |
24.973 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 7 #(305 6).
24.983 |                 | .               |                 | .               |  ************** |
24.993 |                 | .               |                 | .               |  ************** |
25.003 |  +READ-FIRST-T+ | .               |                 | .               |                 |
25.028 |  ************** | .               |                 | .               |                 |
25.053 |  ************** | .    =======    |                 | .    -------    |                 |
25.078 |                 | .               |                 |                 |                 |
25.103 |                 | .               |                 |                 |                 |
25.128 |                 | .               |                 |                 |                 |
25.153 |                 | .               |                 |                 |                 |
25.178 |                 | .               |                 |                 |                 |
25.203 |                 | .               |                 |                 |                 |
25.228 |                 | .               |                 |                 |                 |
25.253 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
25.278 |  ************** | .               |                 |                 |                 |
25.303 |  +NO-UNATTENDE+ | .    =======    |E +VISUAL-LOCAT+ |                 |                 |
25.328 |  ************** | .               |E                |                 |                 |
25.353 |  +ATTEND-SECON+ | .               |E.VISUAL-LOCATIO |                 |                 |
25.378 |  ************** | .               | .               |                 |                 |
25.403 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
25.428 |                 | .               |                 |  ************** |  ************** |
25.443 |                 | .               |                 |  ************** |  ************** |
25.453 |                 | .               |                 |  ************** |  ************** |
25.463 |                 | .               |                 |  ************** |  ************** |
25.483 |                 | .               |                 |  ************** |  ************** |
25.488 |                 | .               |                 | .    TEXT45     |  ************** |
25.503 |                 | .               |                 | .               |  ************** |
25.523 |                 | .               |                 | .               |  ************** |
25.543 |                 | .               |                 | .               |  ************** |
25.563 |                 | .               |                 | .               |  ************** |
25.583 |                 | .               |                 | .               |  ************** |
25.603 |                 | .               |                 | .               |  ************** |
25.628 |                 | .               |                 | .               |  ************** |
25.631 |                 | .               |                 | .               |  ************** |
25.641 |  +CLICK-SECOND+ | .               |                 | .               |                 |
25.666 |  ************** | .               |                 | .               |                 |
25.691 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
25.716 |                 | .               |                 | .               |  ************** |
25.721 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 7 #(5 6).
*** CONCENTRATION: Removing matching '7's from window.
*** CONCENTRATION: 0 tiles remain.
